περιφέρεια;νομός;δήμος;latitude;longitude;station_of_reference
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΗΡΑΚΛΕΙΟΥ;ΦΑΙΣΤΟΥ;35.07222715;24.83574059765102;moires
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΗΡΑΚΛΕΙΟΥ;ΒΙΑΝΝΟΥ;35.0561376;25.421478163546034;aghiosnikolaos
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΗΡΑΚΛΕΙΟΥ;ΓΟΡΤΥΝΑΣ;35.06649885;25.036547440843652;moires
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΗΡΑΚΛΕΙΟΥ;ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ;35.108815;25.139577043453734;heraclion
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΗΡΑΚΛΕΙΟΥ;ΗΡΑΚΛΕΙΟΥ;35.2507456;25.0782870923221;heraclion
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΗΡΑΚΛΕΙΟΥ;ΧΕΡΣΟΝΗΣΟΥ;35.27035455;25.351085980594963;heraclion
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΗΡΑΚΛΕΙΟΥ;ΜΑΛΕΒΙΖΙΟΥ;35.30968015;24.982200001160656;heraclion
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΧΑΝΙΩΝ;ΑΠΟΚΟΡΩΝΟΥ;35.36249705;24.159479932880544;chania
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΧΑΝΙΩΝ;ΣΦΑΚΙΩΝ;35.265490400000004;24.067084380886687;chania
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΧΑΝΙΩΝ;ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ;35.3116188;23.723097295683843;chania
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΧΑΝΙΩΝ;ΠΛΑΤΑΝΙΑ;35.4949278;23.82756796196614;chania
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΧΑΝΙΩΝ;ΧΑΝΙΩΝ;35.46586525;24.036449472430096;chania
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΧΑΝΙΩΝ;ΚΙΣΣΑΜΟΥ;35.449593300000004;23.64061740882818;chania
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΡΕΘΥΜΝΟΥ;ΡΕΘΥΜΝΗΣ;35.3736496;24.550591;rethymno
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΡΕΘΥΜΝΟΥ;ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ;35.1012045;24.6914734;moires
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΡΕΘΥΜΝΟΥ;ΜΥΛΟΠΟΤΑΜΟΥ;35.3554343;24.8880646;heraclion
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΡΕΘΥΜΝΟΥ;ΑΝΩΓΕΙΩΝ;35.245685800000004;24.875032564325508;moires
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΡΕΘΥΜΝΟΥ;ΑΜΑΡΙΟΥ;35.2890792;24.5618205;rethymno
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΛΑΣΙΘΙΟΥ;ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ;35.20851725;25.61273737984198;aghiosnikolaos
ΠΕΡΙΦΈΡΕΙΑ ΚΡΉΤΗΣ;ΛΑΣΙΘΙΟΥ;ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ;35.15852005;25.467038597723842;aghiosnikolaos
